step,x,y,action,tile,reward,health,has_key
179,1,3,3,0,-500.0,120,1
180,1,3,2,0,80.0,119,1
181,1,3,3,0,-600.0,118,1
182,1,3,0,0,-0.0,117,1
183,1,3,3,0,-0.0,116,1
184,1,3,2,0,80.0,115,1
185,1,3,3,0,-100.0,114,1
186,1,3,3,0,-200.0,113,1
187,1,3,3,0,-300.0,112,1
188,1,3,0,0,-0.0,111,1
189,1,3,3,0,-0.0,110,1
190,1,3,3,0,-100.0,109,1
191,1,3,0,0,-0.0,108,1
192,1,3,3,0,-0.0,107,1
193,1,3,2,0,80.0,106,1
194,1,3,3,0,-100.0,105,1
195,1,3,3,0,-200.0,104,1
196,1,3,3,0,-300.0,103,1
197,1,3,0,0,-0.0,102,1
198,1,3,2,0,80.0,101,1
199,1,3,3,0,-0.0,100,1
200,1,3,3,0,-100.0,99,1
201,1,3,3,0,-200.0,98,1
202,1,3,0,0,-0.0,97,1
203,1,3,0,0,-100.0,96,1
204,1,3,2,0,80.0,95,1
205,1,3,3,0,-0.0,94,1
206,1,3,3,0,-100.0,93,1
207,1,3,2,0,80.0,92,1
208,1,3,0,0,-0.0,91,1
209,1,3,2,0,80.0,90,1
210,1,3,1,0,-1.0,89,1
211,1,3,3,0,-0.0,88,1
212,1,3,3,0,-100.0,87,1
213,1,3,2,0,80.0,86,1
214,1,3,2,0,80.0,85,1
215,1,3,2,0,80.0,84,1
216,1,3,2,0,80.0,83,1
217,1,3,3,0,-200.0,82,1
218,1,3,3,0,-300.0,81,1
219,1,3,0,0,-0.0,80,1
220,1,3,0,0,-100.0,79,1
221,1,3,2,0,80.0,78,1
222,1,3,1,0,-1.0,77,1
223,1,3,0,0,-200.0,76,1
224,1,3,2,0,80.0,75,1
225,1,3,1,0,-1.0,74,1
226,1,3,2,0,80.0,73,1
227,1,3,2,0,80.0,72,1
228,1,3,2,0,80.0,71,1
229,1,3,1,0,-1.0,70,1
230,1,3,2,0,80.0,69,1
231,1,3,3,0,-0.0,68,1
232,1,3,3,0,-100.0,67,1
233,1,3,2,0,80.0,66,1
234,1,3,0,0,-0.0,65,1
235,1,3,2,0,80.0,64,1
236,1,3,2,0,80.0,63,1
237,1,3,3,0,-0.0,62,1
238,1,3,3,0,-100.0,61,1
239,1,3,3,0,-200.0,60,1
240,1,3,3,0,-300.0,59,1
241,1,3,3,0,-400.0,58,1
242,1,3,0,0,-0.0,57,1
243,1,3,1,0,-1.0,56,1
244,1,3,3,0,-0.0,55,1
245,1,3,2,0,80.0,54,1
246,1,3,3,0,-100.0,53,1
247,1,3,0,0,-0.0,52,1
248,1,3,3,0,-0.0,51,1
249,1,3,2,0,80.0,50,1
250,1,3,2,0,80.0,49,1
251,1,3,1,0,-1.0,48,1
252,1,3,3,0,-100.0,47,1
253,1,3,3,0,-200.0,46,1
254,1,3,3,0,-300.0,45,1
255,1,3,3,0,-400.0,44,1
256,1,3,3,0,-500.0,43,1
257,1,3,1,0,-1.0,42,1
258,1,3,1,0,-1.0,41,1
259,1,3,2,0,80.0,40,1
260,1,3,2,0,80.0,39,1
261,1,3,2,0,80.0,38,1
262,1,3,0,0,-0.0,37,1
263,1,3,2,0,80.0,36,1
264,1,3,0,0,-100.0,35,1
265,1,3,0,0,-200.0,34,1
266,1,3,1,0,-1.0,33,1
267,1,3,2,0,80.0,32,1
268,1,3,1,0,-1.0,31,1
269,1,3,3,0,-0.0,30,1
270,1,3,2,0,80.0,29,1
271,1,3,3,0,-100.0,28,1
272,1,3,2,0,80.0,27,1
273,1,3,2,0,80.0,26,1
274,1,3,2,0,80.0,25,1
275,1,3,2,0,80.0,24,1
276,1,3,2,0,80.0,23,1
277,1,3,3,0,-200.0,22,1
278,1,3,3,0,-300.0,21,1
279,1,3,2,0,80.0,20,1
280,1,3,2,0,80.0,19,1
281,1,3,0,0,-0.0,18,1
282,1,3,0,0,-100.0,17,1
283,1,3,1,0,-1.0,16,1
284,1,3,3,0,-0.0,15,1
285,1,3,3,0,-100.0,14,1
286,1,3,2,0,80.0,13,1
287,1,3,2,0,80.0,12,1
288,1,3,2,0,80.0,11,1
289,1,3,2,0,80.0,10,1
290,1,3,0,0,-0.0,9,1
291,1,3,0,0,-100.0,8,1
292,1,3,3,0,-0.0,7,1
293,1,3,3,0,-100.0,6,1
294,1,3,0,0,-0.0,5,1
295,1,3,0,0,-100.0,4,1
296,1,3,2,0,80.0,3,1
297,1,3,3,0,-0.0,2,1
298,1,3,3,0,-100.0,1,1
299,1,1,0,0,-0.0,300,0
